Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Mujeres;Total Nacional;17 Rioja, La;TOTAL;136,2
Mujeres;Total Nacional;17 Rioja, La;Ninguna;110,6
Mujeres;Total Nacional;17 Rioja, La;Leve;16,4
Mujeres;Total Nacional;17 Rioja, La;Moderada;5,1
Mujeres;Total Nacional;17 Rioja, La;Moderadamente grave;2,7
Mujeres;Total Nacional;17 Rioja, La;Grave;0,4
Mujeres;Total Nacional;17 Rioja, La;No consta;1,0
Mujeres;Total Nacional;18 Ceuta;TOTAL;33,2
Mujeres;Total Nacional;18 Ceuta;Ninguna;27,2
Mujeres;Total Nacional;18 Ceuta;Leve;4,0
Mujeres;Total Nacional;18 Ceuta;Moderada;1,0
Mujeres;Total Nacional;18 Ceuta;Moderadamente grave;0,0
Mujeres;Total Nacional;18 Ceuta;Grave;0,3
Mujeres;Total Nacional;18 Ceuta;No consta;0,7
Mujeres;Total Nacional;19 Melilla;TOTAL;32,3
Mujeres;Total Nacional;19 Melilla;Ninguna;27,9
Mujeres;Total Nacional;19 Melilla;Leve;3,2
Mujeres;Total Nacional;19 Melilla;Moderada;0,5
Mujeres;Total Nacional;19 Melilla;Moderadamente grave;0,4
Mujeres;Total Nacional;19 Melilla;Grave;0,3
Mujeres;Total Nacional;19 Melilla;No consta;0,0
